course_code,course_title,course_description
AM 3,Precalculus for the Social Sciences,"Introduces mathematical functions and their uses for modeling real-life problems in the social sciences. Includes inequalities, linear and quadratic equations, functions (linear, quadratic, polynomial, rational, power, exponential, logarithmic, trigonometric), inverses, and the composition of functions. Students cannot receive credit for both this course and MATH 3 . STEM majors who are taking a precalculus to get into MATH 19A need to take MATH 3 ."
AM 6,Precalculus for Statistics,"Reviews and introduces mathematical methods useful in the elementary study of statistics, including logic, real numbers, inequalities, linear and quadratic equations, functions, graphs, exponential and logarithmic functions, and summation notation. (Formerly AMS 6.)"
AM 10,Linear Algebra for Engineers,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21 . (Formerly Mathematical Methods for Engineers I.)"
AM 11A,Mathematical Methods for Economists I,"Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A or ECON 11A. ( AM 11A formerly AMS 11A.)"
AM 11B,Mathematical Methods for Economists II,"Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or ECON 11B ( AM 11B formerly AMS 11B.)"
AM 20,Ordinary Differential Equations for Engineers,Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24 . (Formerly Mathematical Methods for Engineers II.)
AM 30,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A ."
AM 100,Mathematical Methods for Engineers,"Covers important concepts in applied mathematics, including complex analysis, vector calculus, Fourier Series, and integral transforms. Applications of the methods to various problems in science and engineering are discussed."
AM 107,Introduction to Fluid Dynamics,Covers fundamental topics in fluid dynamics: Euler and Lagrange descriptions of continuum dynamics; conservation laws for inviscid and viscous flows; potential flows; exact solutions of the Navier-Stokes equation; boundary layer theory; gravity waves. Students cannot receive credit for this course and AM 217 . ( AM 107 formerly AMS 107.)
AM 112,Introduction to Partial Differential Equations,"Teaches analytical methods for the solution of first- and second-order PDEs of two variables, including: the method of characteristics for first-order PDEs; separation of variables for the heat, wave, and Laplaceâs equations in a finite or periodic Cartesian domain; homogeneous vs. forced problem; Sturm-Liouville theory; polar and spherical coordinate systems. Each method is illustrated by solving PDEs originating from real-life applications. Students cannot receive credit for this course and AM 212A ."
